Node,C92ICY6VWN,CBDWGRJVVL,CAKIJ91SJ7,C9EQAVY4YU
67500,38.8124454713,63.3877140671,55.7937286943,47.3978079342
68400,39.0436152589,63.0647551607,56.0291519068,48.0624884173
69300,39.537116979,63.577935945,56.3598159272,48.188187635
70200,39.2493877822,63.5366870078,55.8665057826,47.7943880377
71100,39.3873906326,63.7184062414,56.4145740653,48.3787924041
72000,39.3470640684,63.8300925011,56.5073727664,48.1593274926
72900,39.9335608,63.7190914148,56.7135546418,48.4531240486
73800,40.0209332451,63.9737608539,56.8315390783,48.3833140129
74700,39.8607505391,63.8389636951,56.5435935664,48.4741508151
75600,39.8882440359,63.6673198058,56.4864560293,47.83328394
76500,40.5560886912,64.3176779454,56.5833365919,48.8944392929
77400,41.2062181223,64.8388605072,57.3494060881,48.487574061
78300,41.8860349353,64.8859880255,57.0524165568,48.9843529584
79200,42.2500585931,65.0355512484,56.9343615645,48.2460053345
80100,42.8945708822,64.9571369845,57.2298464993,49.3995014951
81000,43.0720787281,65.2720389402,57.3018060905,49.2392863159
81900,43.4794257454,65.2183896943,57.2677313487,49.4756669402
82800,44.0539863133,65.5835273589,57.8777497787,49.3498898904
83700,44.6138993002,65.6797595835,57.7365735514,49.6632519572
84600,44.3791177258,65.9649638909,58.0886253872,49.9795101593
85500,44.827973435,66.6901118198,58.5678115986,49.8779586724
86400,45.1019407751,66.4798134008,57.9326838028,50.4730906084
87300,45.2844531196,66.522753183,58.5070177916,50.7286219848
88200,45.2915720845,66.4817464911,58.4442086605,50.4906385202
89100,45.1669748228,66.9127385829,59.0628805477,50.4894749238
90000,45.8167870445,67.0353879595,58.7276287037,51.0106675653
90900,45.841872351,67.1832615318,59.1444631271,51.1819391831
91800,45.684082202,67.3973250778,59.2480299872,51.4632690107
92700,45.9570287185,67.4109028174,59.3903138028,51.147717433
93600,46.2127956695,67.6728933553,59.4214822955,51.6142198683
94500,46.5418092068,67.6786204192,59.7577580539,51.1714318929
95400,45.8735956318,67.6755235394,59.6003269847,51.1116198594
96300,46.3706594332,67.3814005893,59.3382278139,51.4201723974
97200,46.1340677338,67.5556273449,59.5983019615,51.4517265632
98100,46.4185998374,67.9883418972,59.4484221409,51.3309093562
99000,46.2833145021,67.8855484828,59.8106332902,51.7234438517
99900,46.0806041744,67.9217051828,59.510463526,51.8048064482
100800,45.9789092329,67.8576204558,59.6633515216,51.2734124796
101700,46.5276382395,67.7179346831,59.6366906521,51.2499867162
102600,46.0218598654,67.8192065012,59.3546683204,51.2752181196
103500,46.3096083189,67.7990068672,59.8013977569,51.120737788
104400,46.055593987,67.6000520646,59.5223094892,51.3519692808
105300,46.083978288,67.7827885375,59.7128622441,51.4107740481
106200,45.8715490269,67.6681672066,59.6646077742,51.6222553603
107100,45.1995525457,67.2480545521,59.3975186728,51.2025578747
108000,44.5338380386,67.3369333808,59.4062772848,51.3548466766
108900,44.1407786614,66.9837957646,59.3384105735,50.9335451335
109800,43.2457797024,66.5923553391,58.4919115086,50.5939772021
110700,42.341632257,65.5970698868,58.8081763758,49.9296916456
111600,41.4613157905,65.6392915441,58.1900282005,50.1320756067
112500,39.3095932503,64.400815543,57.3211942089,48.8344564718
113400,39.2728714494,64.3133566658,57.4349415873,48.7270063374
114300,38.8387982381,63.317695714,56.3130992351,48.2222749967
115200,38.6018834691,63.3551868509,55.9948022031,47.5683647067
116100,38.331499063,62.7241516716,55.8423555738,47.669469603
117000,38.1624459553,62.5985602085,55.6574900809,47.5480400415
117900,37.72718213,62.2741871509,55.1453560549,46.9730874746
118800,37.4179573264,62.8158924317,54.9683963771,46.5351595605
119700,37.5323002324,62.4065281028,55.265833573,46.2460427772
120600,37.3945774343,61.9830835196,55.0588301348,46.5525222053
121500,37.3609850659,61.6528448945,54.5236790661,46.6014522108
122400,37.0552498543,61.7715518289,54.7186746496,46.1882884749
123300,37.0705812506,61.7950204461,54.0992340644,45.8456017083
124200,36.9904648746,61.2984855438,54.0214098546,45.3052333923
125100,37.6042642954,61.760820753,54.3853172336,46.1550118397
126000,37.3698328272,61.4397319528,53.9757062747,45.9375218688
126900,36.788309562,60.9166961291,54.1896082116,46.0538794914
127800,37.8169932934,61.4960481499,54.3169464974,46.3810875044
128700,37.0702889811,61.719027548,54.333879397,46.3221973307
129600,37.0695017128,61.2354309023,53.6474681059,45.9941629142
130500,36.6700124066,61.4038694677,54.417971415,46.2972963337
131400,37.2213503255,61.6730524512,54.4782320735,46.2319325543
132300,37.3806896383,62.0151453429,54.9247874266,46.2156426785
133200,37.2199972533,61.6296680131,54.5363790105,46.0094355217
134100,37.9535743056,62.3486257091,55.1860023212,46.8625314501
135000,37.6441987198,62.1225240409,54.625414868,46.2572451105
135900,37.6152814849,62.1038001205,54.7217867642,46.6813469576
136800,38.1509121415,61.9763278773,55.1768841771,46.7755781608
137700,38.1506066587,62.2602253913,55.3452900504,46.8676113081
138600,37.7999221791,62.5732960047,55.1377544837,46.8041552967
139500,38.5107730506,62.435925876,55.1028643082,47.0074820871
140400,38.6812992945,62.6644446092,54.8234399596,47.0671255665
141300,38.2899179149,63.0605128795,55.2780949619,47.5023209452
142200,38.5286152074,62.6753771934,55.1889924157,47.168488493
143100,38.3027975055,62.7568990779,55.2801703035,47.4251383822
144000,38.6909340011,62.4343932244,55.7635764987,47.4776392315
144900,39.1254024164,63.0894708105,56.0980683282,47.5673222857
145800,39.0624774596,63.1141422862,55.7919822113,47.4344186301
146700,38.9668087343,63.2448976298,56.0602008349,47.7816313139
147600,38.72790332,63.0030022639,55.7645701817,47.5145714598
148500,39.0424048903,63.1282379987,56.1019856823,47.95063089
149400,38.8785085957,63.352663474,55.7190502259,47.3348128943
150300,39.0571035078,63.4709510122,55.91171802,48.1935098187
151200,39.1021467469,63.1810028149,56.2326224211,47.4506644955
152100,38.9403712136,63.3728266313,55.7723904789,47.8688856115
153000,39.0578946824,62.8826181847,55.7890302763,47.4701322765
153900,38.8144876795,62.8768160974,56.0558510819,47.5816684319
154800,39.2330686493,63.2522302556,56.0734388,47.7026807402
155700,39.4098856401,63.2447663592,56.1832792592,47.8782224024
156600,39.4408246299,63.3972407567,55.9193852719,47.9482254999
157500,39.6147554315,63.9104839764,56.2404478767,48.4680655164
158400,39.4191879555,63.4943712617,56.0631189559,47.8638084114
159300,40.0835665207,63.7871938527,56.7115918661,48.3591601707
160200,39.6029331733,63.600672103,56.4224317915,48.4069295144
